Ensembl_gene_ID	HGNC_symbol
ENSRNOG00000070168	Or51f23c-ps1
ENSRNOG00000070901	Irgq
ENSRNOG00000018029	Doc2g
ENSRNOG00000031391	Ceacam16
ENSRNOG00000055342	LOC120100214
ENSRNOG00000067904	LOC120100281
ENSRNOG00000063979	LOC120100116
ENSRNOG00000050129	AABR07000137.1
ENSRNOG00000056886	Mir291b
ENSRNOG00000032625	Zfp108
ENSRNOG00000029315	LOC690251
ENSRNOG00000016356	Got1
ENSRNOG00000028288	Clrn3
ENSRNOG00000015810	Trip13
ENSRNOG00000017538	Lrrc27
ENSRNOG00000027204	Map6
ENSRNOG00000058651	LOC120100452
ENSRNOG00000056005	LOC120100212
ENSRNOG00000035453	Mir3596c
ENSRNOG00000063396	LOC120100238
ENSRNOG00000069410	Or2ag2
ENSRNOG00000014903	Zfyve27
ENSRNOG00000055477	LOC120100189
ENSRNOG00000059537	LOC120100115
ENSRNOG00000064304	Or5b107
ENSRNOG00000035530	Mir192
ENSRNOG00000021051	Cyth2
ENSRNOG00000069804	LOC120100325
ENSRNOG00000055569	Snord14b
ENSRNOG00000011160	Sv2b
ENSRNOG00000017748	Nkx6-2
ENSRNOG00000065307	Vom2r-ps62
ENSRNOG00000016227	Glrx3
ENSRNOG00000070826	Rnu6-26
ENSRNOG00000013395	Pglyrp1
ENSRNOG00000016906	Lipt2
ENSRNOG00000066860	LOC120100366
ENSRNOG00000062499	LOC120100326
ENSRNOG00000070448	Or5b114
ENSRNOG00000036303	Mir343
ENSRNOG00000065290	Or2d3
ENSRNOG00000055366	LOC120100416
ENSRNOG00000052293	Snord15a
ENSRNOG00000027582	Dpysl4
ENSRNOG00000070096	Or14n1
ENSRNOG00000064522	LOC120100251
ENSRNOG00000035532	Mir101-2
ENSRNOG00000009830	Fam204a
ENSRNOG00000012742	Irx2
ENSRNOG00000063184	Or2d3c
ENSRNOG00000069135	Snord97
ENSRNOG00000071210	LOC120100334
ENSRNOG00000064435	LOC120100317
ENSRNOG00000065990	Mir344a-2
ENSRNOG00000065939	LOC120100128
ENSRNOG00000013767	Ccdc61
ENSRNOG00000063387	Or13a27d
ENSRNOG00000052521	LOC120093055
ENSRNOG00000062791	LOC120100287
ENSRNOG00000032699	Ttyh1
ENSRNOG00000035616	Mir210
ENSRNOG00000069698	LOC108349467
ENSRNOG00000063324	Snora20
ENSRNOG00000058041	LOC120100215
ENSRNOG00000018408	RGD1307554
ENSRNOG00000064960	LOC120100254
ENSRNOG00000030782	Or10a49
ENSRNOG00000016421	Tyr
ENSRNOG00000058299	Rnu6-546
ENSRNOG00000018334	Ctu1
ENSRNOG00000070685	Rnu6-993
ENSRNOG00000060004	Mir3572
ENSRNOG00000014726	Acsm4
ENSRNOG00000060273	LOC120100386
ENSRNOG00000070216	LOC120100252
ENSRNOG00000051969	Snora29
ENSRNOG00000023407	Mrpl36
ENSRNOG00000035654	Mir99b
ENSRNOG00000061890	Ust5r
ENSRNOG00000010529	Thbs2
ENSRNOG00000012684	Bloc1s2
ENSRNOG00000069040	LOC120100403
ENSRNOG00000014258	Rab32
ENSRNOG00000010918	Cebpa
ENSRNOG00000066483	LOC120100319
ENSRNOG00000051780	LOC120100462
ENSRNOG00000067027	LOC108349691
ENSRNOG00000035560	Mir150
ENSRNOG00000019416	Zfp94
ENSRNOG00000017366	Or56a5
ENSRNOG00000053012	LOC120100427
ENSRNOG00000059864	LOC120100432
ENSRNOG00000053838	LOC120100288
ENSRNOG00000063945	Mir6317
ENSRNOG00000066101	LOC100911574
ENSRNOG00000057261	Metazoa_SRP
ENSRNOG00000063217	Rrlt
ENSRNOG00000036631	Ptgdr2
ENSRNOG00000066494	LOC120100331
ENSRNOG00000016659	Habp2
ENSRNOG00000059820	LOC120100360
ENSRNOG00000049846	Mir344g
ENSRNOG00000014946	AABR07005588.1
ENSRNOG00000065570	LOC120100463
ENSRNOG00000020318	Pnkp
ENSRNOG00000047406	Cfap90
ENSRNOG00000050445	Gde1
ENSRNOG00000069614	LOC120100327
ENSRNOG00000069896	Rnu6-968
ENSRNOG00000035565	Mir330
ENSRNOG00000031110	Or51f4
ENSRNOG00000058224	RNaseP_nuc
ENSRNOG00000016597	AABR07006081.1
ENSRNOG00000064367	LOC120100237
ENSRNOG00000064092	LOC120100155
ENSRNOG00000067132	Mir344i
ENSRNOG00000068454	LOC120100122
ENSRNOG00000018953	Cblc
ENSRNOG00000062564	LOC120098765
ENSRNOG00000018940	Slc28a1
ENSRNOG00000013945	Itpkc
ENSRNOG00000068368	LOC120100464
ENSRNOG00000070203	LOC120100293
ENSRNOG00000065397	Rnu6-856
ENSRNOG00000040447	Mir708
ENSRNOG00000033706	Klk14
ENSRNOG00000031947	LOC100361060
ENSRNOG00000016565	Zfp524
ENSRNOG00000061455	Or5b116b
ENSRNOG00000019138	Clec11a
ENSRNOG00000015424	Or51f2
ENSRNOG00000013198	Or9q2
ENSRNOG00000056351	LOC120100209
ENSRNOG00000065052	LOC120100259
ENSRNOG00000035572	Mir125a
ENSRNOG00000069866	LOC120100411
ENSRNOG00000065649	Zfp94
ENSRNOG00000068275	LOC120100277
ENSRNOG00000053559	Or5b123b
ENSRNOG00000035553	Mir202
ENSRNOG00000056667	LOC120100450
ENSRNOG00000064785	LOC120100409
ENSRNOG00000050663	Or51h5
ENSRNOG00000064423	LOC685793
ENSRNOG00000016574	Fiz1
ENSRNOG00000055971	AABR07000544.1
ENSRNOG00000068157	LOC120100324
ENSRNOG00000032137	Foxb2
ENSRNOG00000050364	Mir3569
ENSRNOG00000060473	LOC120100368
ENSRNOG00000068108	LOC120100224
ENSRNOG00000055608	LOC102548695
ENSRNOG00000048436	Or51t1
ENSRNOG00000013641	Myo7a
ENSRNOG00000020347	Nup98
ENSRNOG00000035588	Mir194-2
ENSRNOG00000053464	LOC120100418
ENSRNOG00000016837	Ckm
ENSRNOG00000069139	LOC120100250
ENSRNOG00000068222	LOC100910657
ENSRNOG00000025953	LOC681006
ENSRNOG00000061525	RGD1562011
ENSRNOG00000046704	Mir3099
ENSRNOG00000034083	Or51a7b
ENSRNOG00000057516	Rnu6-806
ENSRNOG00000053512	LOC120100487
ENSRNOG00000016608	Zfp579
ENSRNOG00000027112	MGC114499
ENSRNOG00000069192	LOC120100248
ENSRNOG00000012730	Lrrk1
ENSRNOG00000052937	LOC120100460
ENSRNOG00000018117	Ndufv1
ENSRNOG00000049017	Mir6316
ENSRNOG00000051561	LOC120100354
ENSRNOG00000067136	LOC120100284
ENSRNOG00000063952	Or10w1
ENSRNOG00000016362	Gpr4
ENSRNOG00000056231	Rnu6-65
ENSRNOG00000063054	LOC108349838
ENSRNOG00000013671	Vom2r9
ENSRNOG00000017307	Prss23
ENSRNOG00000066105	LOC120100401
ENSRNOG00000064098	LOC120100236
ENSRNOG00000035580	Mir3597-3
ENSRNOG00000056252	LOC120100399
ENSRNOG00000067915	LOC108349187
ENSRNOG00000015649	Or51a7
ENSRNOG00000054785	LOC120100498
ENSRNOG00000020942	Plekha4
ENSRNOG00000065481	LOC120100272
ENSRNOG00000032600	Or10q12
ENSRNOG00000067951	LOC120100127
ENSRNOG00000017749	Nkg7
ENSRNOG00000061288	Rnu6-630
ENSRNOG00000017079	Pgm2l1
ENSRNOG00000017795	Hspbp1
ENSRNOG00000061338	LOC120100276
ENSRNOG00000065787	Mir3584
ENSRNOG00000068787	Or13a26c
ENSRNOG00000015657	Or51g2
ENSRNOG00000064243	LOC102552287
ENSRNOG00000052607	Snora12
ENSRNOG00000052788	LOC120100357
ENSRNOG00000063641	LOC120100292
ENSRNOG00000046320	Mir6315
ENSRNOG00000042133	LOC690862
ENSRNOG00000031648	Or5b12b
ENSRNOG00000064592	LOC120100217
ENSRNOG00000054005	Rnu6-884
ENSRNOG00000069982	LOC120100110
ENSRNOG00000052319	AABR07004881.1
ENSRNOG00000035639	Mir107
ENSRNOG00000027542	LOC100302465
ENSRNOG00000067371	LOC120100244
ENSRNOG00000009748	Or5p68
ENSRNOG00000037333	Cldnd2
ENSRNOG00000061755	LOC120100355
ENSRNOG00000064493	Rnu6-588
ENSRNOG00000021478	Tpd52l1
ENSRNOG00000017330	AC103221.1
ENSRNOG00000062409	Or13a25
ENSRNOG00000065302	Mir344b-1
ENSRNOG00000018090	Ppp6r1
ENSRNOG00000069157	Chchd4
ENSRNOG00000068228	LOC120100268
ENSRNOG00000069767	Vom2r6
ENSRNOG00000057952	LOC120100344
ENSRNOG00000059329	LOC120100156
ENSRNOG00000015230	Ermard
ENSRNOG00000017069	Mark4
ENSRNOG00000021013	Stx3
ENSRNOG00000033009	Or13g1
ENSRNOG00000065333	Mir344b-2
ENSRNOG00000067419	Or51f1f
ENSRNOG00000061678	Snord100
ENSRNOG00000059948	LOC120100266
ENSRNOG00000018677	Akt2
ENSRNOG00000057111	LOC120100345
ENSRNOG00000069344	Or5b96
ENSRNOG00000054517	Snora33
ENSRNOG00000069038	LOC120100240
ENSRNOG00000056439	Rnu6-395
ENSRNOG00000069280	Mir344b-3
ENSRNOG00000066733	LOC120100420
ENSRNOG00000019207	Shank1
ENSRNOG00000018394	Chrdl2
ENSRNOG00000015760	Or51l1
ENSRNOG00000070234	Zfp141
ENSRNOG00000053284	LOC120100245
ENSRNOG00000030326	Or5b24
ENSRNOG00000063681	LOC120100216
ENSRNOG00000065437	LOC120100247
ENSRNOG00000049574	Mir3102
ENSRNOG00000016714	Nrap
ENSRNOG00000052956	Rnu6-75
ENSRNOG00000068102	LOC120100280
ENSRNOG00000035648	Mir211
ENSRNOG00000062789	Or13a26b
ENSRNOG00000015764	Or51p1
ENSRNOG00000015734	Ube3a
ENSRNOG00000067158	LOC120100492
ENSRNOG00000056404	Rnu6-894
ENSRNOG00000066619	Or6f1
ENSRNOG00000052832	LOC120100391
ENSRNOG00000056469	Mir290
ENSRNOG00000066170	LOC120100402
ENSRNOG00000067889	Y_RNA
ENSRNOG00000066931	Or5b100
ENSRNOG00000066273	LOC120100241
ENSRNOG00000069276	LOC102548320
