Ensembl_gene_ID	HGNC_symbol
YDL243C	AAD4
YDR387C	CIN10
YDR438W	THI74
YDR523C	SPS1
YDR542W	PAU10
YDR492W	IZH1
YDL189W	RBS1
YDR508C	GNP1
YDR462W	MRPL28
YDR175C	RSM24
YDR186C	SND1
YDR150W	NUM1
YDR243C	PRP28
YDL182W	LYS20
YDR362C	TFC6
YDR232W	HEM1
YDR158W	HOM2
YDR439W	LRS4
YDR125C	ECM18
YDR533C	HSP31
YDR272W	GLO2
YDR197W	CBS2
YDR512C	EMI1
YDR489W	SLD5
YDR299W	BFR2
YDL015C	TSC13
YDR304C	CPR5
YDL181W	INH1
YDR367W	KEI1
YDR085C	AFR1
YDL097C	RPN6
YDL139C	SCM3
YDR200C	VPS64
YDR191W	HST4
YDR451C	YHP1
YDR469W	SDC1
YDR470C	UGO1
YDR105C	TMS1
YDR483W	KRE2
YDL123W	SNA4
YDR505C	PSP1
YDL045W-A	MRP10
YDL045C	FAD1
YDR361C	BCP1
YDR266C	HEL2
YDR002W	YRB1
YDR214W	AHA1
YDR130C	FIN1
YDR358W	GGA1
YDR460W	TFB3
YDL028C	MPS1
YDR060W	MAK21
YDR363W	ESC2
YDR422C	SIP1
YDR119W	VBA4
YDR097C	MSH6
YDL160C	DHH1
YDR425W	SNX41
YDR228C	PCF11
YDR471W	RPL27B
YDR089W	VTC5
YDR275W	BSC2
YDR043C	NRG1
YDR129C	SAC6
YDR136C	VPS61
YDL066W	IDP1
YDR302W	GPI11
YDR539W	FDC1
YDL125C	HNT1
YDR493W	MZM1
YDR101C	ARX1
YDR212W	TCP1
YDL131W	LYS21
YDR458C	HEH2
YDR081C	PDC2
YDR113C	PDS1
YDR168W	CDC37
YDR520C	URC2
YDR307W	PMT7
YDR265W	PEX10
YDL076C	RXT3
YDL006W	PTC1
YDR238C	SEC26
YDR077W	SED1
YDL083C	RPS16B
YDR036C	EHD3
YDR057W	YOS9
YDR513W	GRX2
YDR487C	RIB3
YDR066C	RTR2
YDR352W	YPQ2
YDR079C-A	TFB5
YDR204W	COQ4
YDL024C	DIA3
YDR466W	PKH3
YDR427W	RPN9
YDL044C	MTF2
YDL079C	MRK1
YDR305C	HNT2
YDR377W	ATP17
YDR219C	MFB1
YDR416W	SYF1
YDR365C	ESF1
YDL233W	MFG1
YDR287W	INM2
YDR448W	ADA2
YDR180W	SCC2
YDR294C	DPL1
YDR198C	RKM2
YDL119C	HEM25
YDR501W	PLM2
YDL214C	PRR2
YDR264C	AKR1
YDR343C	HXT6
YDR373W	FRQ1
YDR354W	TRP4
YDR246W	TRS23
YDR428C	BNA7
YDR316W	OMS1
YDL142C	CRD1
YDR253C	MET32
YDL112W	TRM3
YDR545W	YRF1-1
YDL138W	RGT2
YDR528W	HLR1
YDR284C	DPP1
YDR050C	TPI1
YDL010W	GRX6
YDL065C	PEX19
YDR349C	YPS7
YDL098C	SNU23
YDL234C	GYP7
YDR118W	APC4
YDR159W	SAC3
YDR111C	ALT2
YDR128W	MTC5
YDR065W	RRG1
YDL004W	ATP16
YDR024W	FYV1
YDL171C	GLT1
YDR083W	RRP8
YDR457W	TOM1
YDR014W	RAD61
YDR206W	EBS1
YDR478W	SNM1
YDR169C	STB3
YDR115W	MRX14
YDL232W	OST4
YDR432W	NPL3
YDR410C	STE14
YDL072C	YET3
YDR482C	CWC21
YDL070W	BDF2
YDR064W	RPS13
YDL135C	RDI1
YDL077C	VAM6
YDL033C	SLM3
YDL031W	DBP10
YDR398W	UTP5
YDR326C	YSP2
YDL052C	SLC1
YDR536W	STL1
YDR397C	NCB2
YDL116W	NUP84
YDR028C	REG1
YDL007W	RPT2
YDR236C	FMN1
YDR011W	SNQ2
YDR155C	CPR1
YDR414C	ERD1
YDR026C	NSI1
YDL073W	AHK1
tY(GUA)D	SUP2
YDL115C	IWR1
YDL145C	COP1
YDL104C	QRI7
YDL149W	ATG9
YDR231C	COX20
YDR045C	RPC11
YDL075W	RPL31A
YDR339C	FCF1
YDL213C	NOP6
YDR096W	GIS1
YDL019C	OSH2
YDL022W	GPD1
YDR091C	RLI1
YDR240C	SNU56
YDL244W	THI13
YDR179C	CSN9
YDL165W	CDC36
YDL140C	RPO21
YDR120C	TRM1
YDR003W	RCR2
YDR499W	LCD1
YDR166C	SEC5
YDL092W	SRP14
YDL082W	RPL13A
YDR277C	MTH1
YDR291W	HRQ1
YDR475C	JIP4
YDR244W	PEX5
YDR407C	TRS120
YDR382W	RPP2B
YDL188C	PPH22
YDR405W	MRP20
YDR443C	SSN2
YDR059C	UBC5
YDR144C	MKC7
YDL058W	USO1
YDL096C	OPI6
YDL155W	CLB3
YDR147W	EKI1
YDL191W	RPL35A
YDL128W	VCX1
YDR310C	SUM1
YDL160C-A	MHF2
YDR127W	ARO1
YDR497C	ITR1
YDR201W	SPC19
YDR163W	CWC15
YDL146W	LDB17
YDR363W-A	SEM1
YDL089W	NUR1
YDR385W	EFT2
YDR331W	GPI8
YDR196C	CAB5
YDR116C	MRPL1
YDR001C	NTH1
YDL230W	PTP1
YDR160W	SSY1
YDR123C	INO2
YDR322W	MRPL35
YDR040C	ENA1
YDR025W	RPS11A
YDR046C	BAP3
YDL248W	COS7
YDR485C	VPS72
YDR408C	ADE8
YDR038C	ENA5
YDL204W	RTN2
YDR019C	GCV1
YDR477W	SNF1
YDR254W	CHL4
YDR296W	MHR1
YDL216C	RRI1
YDL100C	GET3
YDL227C	HO
YDL111C	RRP42
YDR324C	UTP4
YDL170W	UGA3
YDR317W	HIM1
YDR436W	PPZ2
YDR208W	MSS4
YDR386W	MUS81
YDR504C	SPG3
YDL220C	CDC13
YDR258C	HSP78
YDR176W	NGG1
YDL099W	BUG1
YDR380W	ARO10
YDL110C	TMA17
YDR148C	KGD2
YDL201W	TRM8
YDL107W	MSS2
YDR515W	SLF1
YDR378C	LSM6
YDR473C	PRP3
YDR403W	DIT1
YDR268W	MSW1
YDR409W	SIZ1
YDR173C	ARG82
YDR389W	SAC7
YDR165W	TRM82
YDL113C	ATG20
YDR086C	SSS1
YDL021W	GPM2
YDR023W	SES1
